Countries and areas,Year,Latitude ,Longitude,Completion_Rate_Primary_Male,Completion_Rate_Primary_Female,Completion_Rate_Lower_Secondary_Male,Completion_Rate_Lower_Secondary_Female,Completion_Rate_Upper_Secondary_Male,Completion_Rate_Upper_Secondary_Female,Youth_15_24_Literacy_Rate_Male,Youth_15_24_Literacy_Rate_Female,Gross_Primary_Education_Enrollment,Gross_Tertiary_Education_Enrollment,% of GDP,Completion_Rate_Primary_Total,Completion_Rate_Lower_Secondary_Total,Completion_Rate_Upper_Secondary_Total,Youth_Literacy_Rate_Total,Gender_Parity_Primary,Gender_Parity_Lower_Secondary,Gender_Parity_Upper_Secondary
Afghanistan,2021,33.93911,67.709953,67,40,49,26,32,14,74,56,104,9.7,4.1,107,75,46,130,0.597014925,0.530612245,0.4375
Albania,2021,41.153332,20.168331,94,96,98,97,76,80,99,100,107,55,4,190,195,156,199,1.021276596,0.989795918,1.052631579
Algeria,2021,28.033886,1.659626,93,93,49,65,22,37,98,97,109.9,51.4,4.3,186,114,59,195,1,1.326530612,1.681818182
Andorra,2021,42.506285,1.521801,0,0,0,0,0,0,0,0,106.4,0,3.2,0,0,0,0,0,0,0
Angola,2021,11.202692,17.873887,63,57,42,32,24,15,0,0,113.5,9.3,3.5,120,74,39,0,0.904761905,0.761904762,0.625
Antigua and Barbuda,2021,17.060816,61.796428,0,0,0,0,0,0,0,0,105,24.8,2.5,0,0,0,0,0,0,0
Argentina,2021,38.416097,63.616672,91,94,70,79,46,53,99,100,109.7,90,5.5,185,149,99,199,1.032967033,1.128571429,1.152173913
Armenia,2021,40.069099,45.038189,99,99,95,99,69,79,0,0,92.7,54.6,2.3,198,194,148,0,1,1.042105263,1.144927536
Australia,2021,25.274398,133.775136,0,0,0,0,0,0,0,0,100.3,113.1,5.3,0,0,0,0,0,0,0
Austria,2021,47.516231,14.550072,0,0,0,0,0,0,0,0,103.1,85.1,5.5,0,0,0,0,0,0,0
Azerbaijan,2021,40.143105,47.576927,0,0,0,0,0,0,0,0,99.7,27.7,2.5,0,0,0,0,0,0,0
Bahamas,2021,25.03428,77.39628,0,0,0,0,0,0,0,0,81.4,15.1,2.8,0,0,0,0,0,0,0
Bahrain,2021,26.0667,50.5577,0,0,0,0,0,0,100,99,99.4,50.5,2.3,0,0,0,199,0,0,0
Bangladesh,2021,23.684994,90.356331,76,89,59,71,32,27,94,96,116.5,20.6,2,165,130,59,190,1.171052632,1.203389831,0.84375
Barbados,2021,13.193887,59.543198,99,99,98,98,91,97,0,0,99.4,65.4,4.7,198,196,188,0,1,1,1.065934066
Belarus,2021,53.709807,27.953389,100,100,100,100,91,94,100,100,100.5,87.4,4.8,200,200,185,200,1,1,1.032967033
Belgium,2021,50.503887,4.469936,0,0,0,0,0,0,0,0,103.9,79.7,6.5,0,0,0,0,0,0,0
Belize,2021,17.189877,88.49765,95,96,55,66,48,51,0,0,111.7,24.7,7.4,191,121,99,0,1.010526316,1.2,1.0625
Benin,2021,9.30769,2.315834,51,44,25,13,12,5,70,52,122,12.3,4,95,38,17,122,0.862745098,0.52,0.416666667
Bhutan,2021,27.514162,90.433601,67,71,41,38,25,18,0,0,100.1,15.6,8.1,138,79,43,0,1.059701493,0.926829268,0.72
Bolivia,2021,16.290154,63.588653,0,0,0,0,0,0,0,0,98.2,0,7.3,0,0,0,0,0,0,0
Botswana,2021,22.328474,24.684866,95,98,92,92,55,66,0,0,103.2,24.9,7.8,193,184,121,0,1.031578947,1,1.2
Brazil,2021,14.235004,51.92528,95,97,81,89,65,75,99,99,115.4,51.3,6.2,192,170,140,198,1.021052632,1.098765432,1.153846154
Brunei,2021,4.535277,114.727669,0,0,0,0,0,0,100,100,103.2,31.4,4.4,0,0,0,200,0,0,0
Bulgaria,2021,42.733883,25.48583,0,0,0,0,0,0,0,0,89.3,71,4.1,0,0,0,0,0,0,0
Burkina Faso,2021,12.238333,1.561593,32,29,13,6,6,2,62,55,96.1,6.5,4.2,61,19,8,117,0.90625,0.461538462,0.333333333
Burundi,2021,3.373056,29.918886,46,54,26,19,4,3,0,0,121.4,6.1,4.8,100,45,7,0,1.173913043,0.730769231,0.75
Cambodia,2021,12.565679,104.990963,68,79,41,39,20,20,0,0,107.4,13.7,1.9,147,80,40,0,1.161764706,0.951219512,1
Cameroon,2021,7.369722,12.354722,75,74,52,43,26,21,88,82,103.4,12.8,3.1,149,95,47,170,0.986666667,0.826923077,0.807692308
Canada,2021,56.130366,106.346771,0,0,0,0,0,0,0,0,100.9,68.9,5.5,0,0,0,0,0,0,0
Cape Verde,2021,16.5388,23.0418,0,0,0,0,0,0,0,0,104,23.6,5.2,0,0,0,0,0,0,0
Central African Republic,2021,6.611111,20.939444,54,33,16,8,8,6,48,29,102,3,1.2,87,24,14,77,0.611111111,0.5,0.75
Chad,2021,15.454166,18.732207,31,24,18,10,15,6,0,0,86.8,3.3,2.9,55,28,21,0,0.774193548,0.555555556,0.4
Chile,2021,35.675147,71.542969,96,97,94,97,83,88,0,0,101.4,88.5,5.4,193,191,171,0,1.010416667,1.031914894,1.060240964
China,2021,35.86166,104.195397,97,97,93,93,63,67,100,100,100.2,50.6,4,194,186,130,200,1,1,1.063492063
Colombia,2021,4.570868,74.297333,91,95,74,81,69,78,99,99,114.5,55.3,4.5,186,155,147,198,1.043956044,1.094594595,1.130434783
Comoros,2021,11.6455,43.3333,75,77,47,45,24,32,78,78,99.5,9,2.5,152,92,56,156,1.026666667,0.957446809,1.333333333
Croatia,2021,45.1,15.2,0,0,0,0,0,0,0,0,96.5,67.9,7.4,0,0,0,0,0,0,0
Cuba,2021,21.521757,77.781167,100,98,95,98,85,86,0,0,101.9,41.4,4.6,198,193,171,0,0.98,1.031578947,1.011764706
Cyprus,2021,35.126413,33.429859,0,0,0,0,0,0,0,0,99.3,75.9,11.5,0,0,0,0,0,0,0
Czech Republic,2021,49.817492,15.472962,0,0,0,0,0,0,0,0,100.7,64.1,6.4,0,0,0,0,0,0,0
Democratic Republic of the Congo,2021,4.038333,21.758664,67,66,58,52,36,27,0,0,108,6.6,5.6,133,110,63,0,0.985074627,0.896551724,0.75
Djibouti,2021,11.825138,42.590275,0,0,0,0,0,0,0,0,75.3,5.3,1.5,0,0,0,0,0,0,0
Dominica,2021,15.414999,61.370976,0,0,0,0,0,0,0,0,114.7,7.2,7.6,0,0,0,0,0,0,0
Dominican Republic,2021,18.735693,70.162651,88,94,76,89,48,66,0,0,105.7,59.9,8.4,182,165,114,0,1.068181818,1.171052632,1.375
Ecuador,2021,1.831239,78.183406,98,98,89,92,78,79,0,0,103.3,44.9,3.4,196,181,157,0,1,1.033707865,1.012820513
Egypt,2021,26.820553,30.802498,91,92,79,81,43,41,0,0,106.3,35.2,4.3,183,160,84,0,1.010989011,1.025316456,0.953488372
El Salvador,2021,13.794185,88.89653,84,89,73,74,34,36,98,98,94.8,29.4,5,173,147,70,196,1.05952381,1.01369863,1.058823529
Equatorial Guinea,2021,1.650801,10.267895,0,0,0,0,0,0,0,0,61.8,1.9,3.9,0,0,0,0,0,0,0
Eritrea,2021,15.179384,39.782334,0,0,0,0,0,0,94,93,68.4,3.4,3.8,0,0,0,187,0,0,0
Estonia,2021,58.595272,25.013607,0,0,0,0,0,0,0,0,97.2,69.6,0.6,0,0,0,0,0,0,0
Eswatini,2021,26.522503,31.465866,64,77,47,54,31,33,94,97,0,0,2.1,141,101,64,191,1.203125,1.14893617,1.064516129
Ethiopia,2021,9.145,40.489673,47,48,19,22,11,14,0,0,101,8.1,5.2,95,41,25,0,1.021276596,1.157894737,1.272727273
Fiji,2021,17.713371,178.065032,0,0,0,0,0,0,0,0,106.4,16.1,7.1,0,0,0,0,0,0,0
Finland,2021,61.92411,25.748151,0,0,0,0,0,0,0,0,100.2,88.2,4.7,0,0,0,0,0,0,0
France,2021,46.227638,2.213749,0,0,0,0,0,0,0,0,102.5,65.6,3.9,0,0,0,0,0,0,0
Gabon,2021,0.803689,11.609444,66,75,32,33,14,14,88,91,139.9,8.3,6.9,141,65,28,179,1.136363636,1.03125,1
Gambia,2021,13.443182,15.310139,64,60,50,48,33,28,0,0,98,2.7,5.4,124,98,61,0,0.9375,0.96,0.848484848
Georgia,2021,42.315407,43.356892,100,100,98,98,79,83,0,0,98.6,63.9,2.7,200,196,162,0,1,1,1.050632911
Germany,2021,51.165691,10.451526,0,0,0,0,0,0,0,0,104,70.2,2.1,0,0,0,0,0,0,0
Ghana,2021,7.946527,1.023194,69,73,45,50,12,9,93,92,104.8,15.7,3.8,142,95,21,185,1.057971014,1.111111111,0.75
Greece,2021,39.074208,21.824312,0,0,0,0,0,0,99,99,99.6,136.6,4.8,0,0,0,198,0,0,0
Grenada,2021,12.1165,61.679,0,0,0,0,0,0,0,0,106.9,104.6,3.6,0,0,0,0,0,0,0
Guatemala,2021,15.783471,90.230759,80,76,52,45,27,25,0,0,101.9,21.8,4.1,156,97,52,0,0.95,0.865384615,0.925925926
Guinea,2021,9.945587,9.696645,52,39,33,20,22,13,70,43,91.5,11.6,3.2,91,53,35,113,0.75,0.606060606,0.590909091
Guinea-Bissau,2021,11.803749,15.180413,29,25,18,16,14,8,0,0,118.7,2.6,2.8,54,34,22,0,0.862068966,0.888888889,0.571428571
Guyana,2021,4.860416,58.93018,96,99,80,88,49,64,0,0,97.8,11.6,2.2,195,168,113,0,1.03125,1.1,1.306122449
Haiti,2021,18.971187,72.285215,49,58,32,38,17,16,0,0,113.6,1.1,2.1,107,70,33,0,1.183673469,1.1875,0.941176471
Honduras,2021,15.199999,86.241905,81,87,46,52,29,35,95,98,91.5,26.2,6.3,168,98,64,193,1.074074074,1.130434783,1.206896552
Hungary,2021,47.162494,19.503304,0,0,0,0,0,0,0,0,100.8,48.5,2.5,0,0,0,0,0,0,0
Iceland,2021,64.963051,19.020835,0,0,0,0,0,0,0,0,100.4,71.8,6,0,0,0,0,0,0,0
Indonesia,2021,0.789275,113.921327,91,92,64,59,40,37,100,100,106.4,36.3,4.7,183,123,77,200,1.010989011,0.921875,0.925
Iran,2021,32.427908,53.688046,0,0,0,0,0,0,0,0,110.7,68.1,7.5,0,0,0,0,0,0,0
Iraq,2021,33.223191,43.679291,78,73,46,47,45,43,0,0,108.7,16.2,2.9,151,93,88,0,0.935897436,1.02173913,0.955555556
Ireland,2021,53.41291,8.24389,0,0,0,0,0,0,0,0,100.9,77.8,3,0,0,0,0,0,0,0
Israel,2021,31.046051,34.851612,0,0,0,0,0,0,0,0,104.9,63.4,4,0,0,0,0,0,0,0
Italy,2021,41.87194,12.56738,0,0,0,0,0,0,100,100,101.9,61.9,3.5,0,0,0,200,0,0,0
Jamaica,2021,18.109581,77.297508,99,100,97,97,80,83,0,0,91,27.1,3.7,199,194,163,0,1.01010101,1,1.0375
Japan,2021,36.204824,138.252924,0,0,0,0,0,0,0,0,98.8,63.2,5.8,0,0,0,0,0,0,0
Jordan,2021,31.302848,36.786839,96,97,86,88,49,63,99,99,81.5,34.4,3.8,193,174,112,198,1.010416667,1.023255814,1.285714286
Kazakhstan,2021,48.019573,66.923684,100,100,100,100,95,96,100,100,104.4,61.7,5.4,200,200,191,200,1,1,1.010526316
Kenya,2021,0.023559,37.906193,77,82,61,69,44,38,88,88,103.2,11.5,3.6,159,130,82,176,1.064935065,1.131147541,0.863636364
Kiribati,2021,1.8368976,157.3768317,92,96,69,88,13,20,0,0,101.3,0,3.6,188,157,33,0,1.043478261,1.275362319,1.538461538
Kuwait,2021,29.31166,47.481766,0,0,0,0,0,0,99,100,92.4,54.4,2.8,0,0,0,199,0,0,0
Kyrgyzstan,2021,41.20438,74.766098,99,100,99,99,89,85,100,100,107.6,41.3,5.2,199,198,174,200,1.01010101,1,0.95505618
Laos,2021,19.85627,102.495496,84,83,54,53,32,31,0,0,102.4,15,15.6,167,107,63,0,0.988095238,0.981481481,0.96875
Latvia,2021,56.879635,24.603189,0,0,0,0,0,0,100,100,99.4,88.1,3.8,0,0,0,200,0,0,0
Lebanon,2021,33.854721,35.862285,0,0,0,0,0,0,100,100,95.1,26.3,6.1,0,0,0,200,0,0,0
Lesotho,2021,29.609988,28.233608,69,92,33,55,27,37,0,0,120.9,10.2,2.9,161,88,64,0,1.333333333,1.666666667,1.37037037
Liberia,2021,6.428055,9.429499,36,33,29,23,18,9,0,0,85.1,11.9,4.7,69,52,27,0,0.916666667,0.793103448,0.5
Libya,2021,26.3351,17.228331,0,0,0,0,0,0,0,0,109,60.5,2.5,0,0,0,0,0,0,0
Liechtenstein,2021,47.1410392,9.520935,0,0,0,0,0,0,0,0,104.7,35.6,6.5,0,0,0,0,0,0,0
